2009,117,54,37,14
2004,187,46,48,25
1988,216,56,48,10
2000,92,22,66,24
1995,281,52,43,14
1988,255,30,42,13
1986,276,63,79,24
1998,226,48,23,23
1994,106,47,48,19
1999,275,18,80,26
1994,188,17,41,29
2002,237,25,10,11
2010,69,62,78,22
1986,218,40,65,14
1992,196,44,66,28
1985,242,17,6,22
2001,178,62,39,26
2001,299,26,31,9
2003,253,48,26,9
1991,133,32,18,9
2001,82,51,83,29
2010,66,66,71,29
2008,104,33,24,11
1994,265,24,48,21
2003,93,23,41,7
2011,85,33,72,20
1995,62,20,17,13
1988,248,57,30,18
1985,257,43,78,17
2012,212,50,17,16
1998,191,61,41,23
2009,122,28,51,29
1985,127,40,80,12
1998,117,55,19,16
1985,205,49,10,23
1985,183,54,53,9
1990,199,45,51,10
1998,204,27,15,9
1985,145,59,80,9
2006,179,34,84,7
2005,236,21,77,24
1997,114,61,51,15
2012,213,55,82,23
2000,294,40,14,8
1989,74,46,63,14
2002,182,45,65,28
2012,284,67,71,13
2013,171,42,73,10
2000,203,49,38,16
2003,224,26,35,19
1985,136,47,84,27
1985,169,24,83,21
1999,291,31,14,13
1994,140,30,4,18
2002,208,22,66,11
1987,188,17,51,17
1996,235,39,13,20
1987,154,17,34,18
2004,81,64,30,13
1988,275,52,29,24
1985,187,45,52,20
1992,231,55,20,13
1995,178,31,6,17
1987,201,22,47,19
1992,245,64,4,13
2011,192,29,5,16
1996,126,66,84,12
1993,299,52,46,26
1998,255,55,82,13
1995,76,48,40,15
2005,273,20,40,17
2002,259,50,3,25
1988,260,67,24,24
2012,74,35,39,15
1992,141,65,9,26
2013,210,59,78,20
1996,273,34,58,26
1991,120,50,67,28
2012,232,38,21,26
1991,261,45,55,26
1988,81,44,73,9
1991,163,50,12,17
1990,217,33,6,9
2009,117,54,30,18
2001,155,22,14,18
2008,96,50,50,8
1998,171,63,55,18
2007,210,50,61,7
1985,69,22,65,25
1985,140,61,11,16
2012,107,62,20,20
1995,197,23,82,8
2009,180,27,27,25
2006,286,20,10,26
2001,109,53,76,10
2008,63,63,16,26
1990,283,22,82,25
2010,189,26,46,23
2006,178,26,18,7
2013,205,67,41,28
