2006,244,34,14
2011,60,49,6
2009,64,53,24
2009,203,61,61
1992,71,53,30
1995,86,40,5
2006,297,20,36
1986,162,26,24
1999,271,51,70
1995,140,64,37
2006,246,23,78
2004,287,40,79
1998,253,30,30
2006,219,46,53
1990,95,54,5
2010,116,66,4
1986,92,64,32
1991,151,57,6
2006,298,44,12
2001,144,53,70
2010,159,41,15
1998,91,39,50
1988,241,47,78
1985,102,27,66
2001,212,25,78
2007,135,64,55
2013,282,20,8
1993,276,61,64
2007,167,45,4
2004,282,19,27
1986,293,19,83
1988,222,37,54
1990,284,26,50
2013,86,52,79
2010,272,24,80
1997,171,25,31
1991,99,41,8
2002,144,24,59
2009,295,42,19
1999,218,23,70
1986,78,25,27
1994,222,42,45
2010,298,45,64
1997,67,34,20
2000,71,38,71
2003,272,64,74
2002,293,60,19
1989,90,44,71
2010,147,66,4
1989,154,40,61
2007,284,65,42
2008,166,42,53
1995,89,66,48
1993,296,25,68
1985,220,23,35
2013,97,50,16
2001,81,21,29
1990,130,30,15
1998,265,51,26
2000,239,32,22
1991,157,35,2
1991,84,37,42
2008,165,64,20
1987,231,66,54
1992,111,19,64
2006,297,66,65
1988,177,50,11
1994,193,25,18
1991,91,21,47
1991,118,29,43
1997,104,38,25
2002,113,21,26
1985,65,28,9
2005,115,65,30
2005,163,42,73
2006,261,22,65
1992,99,55,32
2013,193,50,19
1989,249,45,41
1988,199,45,2
2011,110,18,31
1987,101,46,65
2005,299,40,39
1990,293,49,41
2007,176,50,32
1987,68,55,39
1988,131,59,7
2000,187,23,44
2009,137,24,59
1987,64,21,12
2007,279,57,41
1998,99,55,62
1999,163,21,15
2005,232,38,52
1991,227,53,57
2002,98,38,2
2012,232,57,39
2011,244,61,47
1986,238,20,16
2009,78,39,68
